Isotope;Demi-vie (années);Abondance relative
Holmium-166m;1200;none
Berkelium-247;1380;none
Radium-226;1600;trace
Molybdenum-93;4000;none
Holmium-153;4570;none
Curium-246;4730;none
Carbon-14;5730;trace
Plutonium-240;6563;none
Thorium-229;7340;none
Americium-243;7370;none
Curium-245;8500;none
Curium-250;9000;none
Tin-126;10000;none
Niobium-94;20300;none
Plutonium-239;24110;none
Protactinium-231;32760;trace
Lead-202;52500;none
Lanthanum-137;60000;none
Thorium-230;75380;none
Nickel-59;76000;none
Thorium-230;77000;trace
Calcium-41;103000;none
Neptunium-236;154000;none
Uranium-233;159200;none
Rhenium-186m;200000;none
Technetium-99;211000;none
Krypton-81;229000;none
Uranium-234;245500;trace
Chlorine-36;301000;none
Curium-248;340000;none
Bismuth-208;368000;none
Plutonium-242;373300;none
Aluminum-26;717000;none
Selenium-79;1130000;none
Iron-60;1500000;none
Beryllium-10;1510000;none
Zircon-93;1530000;none
Curium-247;1560000;none
Gadolinium-150;1790000;none
Neptunium-237;2144000;none
Cesium-135;2300000;none
Technetium-97;2600000;none
Dysprosium-154;3000000;none
Bismuth-210m;3040000;none
Manganese-53;3740000;none
Technetium-98;4200000;none
Palladium-107;6500000;none
Hafnium-182;9000000;none
Lead-205;15300000;none
Curium-247;15600000;none
Iodine-129;17000000;trace
Uranium-236;23420000;none
Niobium-92;34700000;none
Plutonium-244;80800000;none
Samarium-146;103000000;none
Uranium-236;234200000;none
Uranium-235;703800000;rare
Potassium-40;1280000000;rare
Uranium-238;4468000000;common
Rubidium-87;4750000000;common
Thorium-232;14100000000;common
Lutetium-176;37800000000;rare
Rhenium-187;43500000000;common
Lanthanum-138;105000000000;rare
Samarium-147;106000000000;common
Platinum-190;650000000000;rare
